"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
714,3,3,4,4,5,4,4,4,4
715,5,5,5,5,5,5,5,5,5
718,4,2,4,4,2,3,4,4,4
719,2,1,3,4,1,4,2,2,5
720,5,3,4,3,2,4,4,4,4
721,3,3,2,2,3,3,3,3,5
722,4,4,4,5,3,5,5,4,4
723,3,1,4,1,5,5,5,5,3
724,5,5,4,2,4,4,5,5,4
725,2,4,3,4,4,4,4,5,3
726,4,2,3,3,3,3,3,4,4
727,2,4,4,4,3,3,5,5,3
728,2,4,4,3,3,4,3,1,3
729,2,2,4,4,4,4,4,4,3
731,4,2,4,5,4,4,4,3,4
732,5,1,4,5,1,5,2,5,3
733,4,3,1,1,2,5,4,3,4
734,5,3,4,3,3,4,4,3,3
735,3,4,3,3,2,4,3,4,2
737,2,2,4,3,2,2,3,2,2
739,3,4,4,4,3,3,3,3,3
740,2,1,2,2,1,1,4,1,1
741,5,4,3,4,3,4,3,4,5
742,5,4,4,5,4,4,3,4,4
743,4,1,1,5,1,2,4,2,3
744,3,4,5,5,1,4,4,2,2
745,5,5,5,5,3,5,5,4,3
746,1,3,2,5,4,4,4,2,3
748,3,2,5,4,3,5,5,3,2
749,5,5,3,5,4,5,3,4,4
750,5,5,2,2,5,3,4,5,4
751,2,3,4,4,3,3,4,2,4
752,5,5,3,5,5,5,5,5,5
756,2,3,3,1,4,2,4,1,3
758,3,5,2,4,4,3,2,3,3
760,4,3,3,4,3,4,3,4,3
763,5,3,4,4,4,4,4,5,4
765,4,3,4,2,4,3,2,5,4
767,3,5,3,4,1,3,4,3,3
768,3,1,3,2,3,4,2,2,2
769,2,2,3,2,4,3,3,3,3
772,2,1,3,3,1,2,4,4,1
773,2,5,5,2,5,5,5,5,2
774,4,3,3,4,1,2,3,2,2
775,3,4,3,4,2,3,3,4,4
777,5,3,3,5,3,4,5,4,5
779,5,4,4,3,3,4,3,3,3
780,4,3,3,4,3,5,4,3,4
781,5,5,5,4,5,4,5,5,5
782,3,3,4,4,4,4,2,3,4
784,3,5,4,5,3,5,3,5,4
786,3,3,3,4,3,4,4,3,3
787,3,3,5,4,2,3,3,5,4
788,4,3,3,4,4,3,4,3,4
790,4,5,5,4,2,5,2,4,3
791,5,1,5,4,2,4,3,2,4
796,3,4,4,4,4,4,3,4,4
797,4,3,5,5,3,5,5,4,3
799,5,5,4,5,3,5,5,5,4
800,4,2,4,5,3,3,4,4,2
801,5,5,5,5,2,4,5,5,5
802,4,3,3,5,2,5,4,5,4
803,4,3,3,4,2,4,4,3,3
806,5,3,4,3,4,5,3,3,4
807,2,2,5,3,2,3,2,2,2
