"userid","mood","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
27,"retro",0,0,0,1,1,1,0,0,0
27,"romantic",0,1,0,0,0,1,0,1,1
27,"satisfied",1,1,0,1,1,1,0,1,1
27,"serene",0,1,0,1,0,0,0,0,0
27,"stimulated",0,0,0,0,0,1,0,0,0
28,"excited",0,1,0,1,1,0,0,0,0
28,"peaceful",1,0,1,1,0,0,0,0,0
29,"cool",0,0,0,0,1,0,0,0,0
29,"satisfied",,,,,,,,,
29,"successful",0,1,0,0,0,0,0,0,0
30,"amazed",0,0,0,0,0,0,0,1,0
30,"joyful",0,1,0,1,0,0,0,0,1
31,"playful",1,0,0,0,0,0,1,0,0
32,"satisfied",0,0,1,0,1,0,1,0,0
32,"stimulated",0,1,1,0,0,0,0,0,0
34,"animated",0,0,0,0,1,0,0,0,1
34,"delighted",0,0,1,1,1,1,0,1,1
34,"joyful",1,0,0,0,0,1,0,0,1
35,"aggressive",0,0,0,0,1,1,1,1,0
35,"satisfied",1,1,0,0,1,1,1,0,0
37,"jumpy",0,0,0,0,0,0,0,1,1
37,"romantic",1,0,1,0,0,0,0,0,1
38,"amazed",1,0,0,1,0,0,0,1,0
38,"animated",,,,,,,,,
38,"bitchy",0,1,0,0,0,0,0,0,0
38,"celebratory",0,0,0,1,0,0,0,1,0
38,"dramatic",0,0,0,0,0,0,0,0,0
38,"driving",1,0,1,0,0,0,0,0,0
38,"elegant",0,0,0,0,0,0,0,0,0
38,"emotional",0,1,1,1,0,0,0,0,1
38,"euphoric",0,0,0,0,1,0,0,0,0
38,"free",0,0,0,0,0,0,0,1,0
38,"furious",0,0,0,0,0,1,0,0,0
38,"good",0,0,0,1,0,0,0,1,0
38,"graceful",0,0,0,0,0,1,0,0,0
38,"joyful",0,0,0,0,0,0,0,0,1
38,"liked",0,0,1,0,0,0,0,0,0
38,"loud",0,0,0,0,0,0,0,1,0
38,"melancholic",0,0,0,0,0,0,0,0,0
38,"nocturnal",1,0,0,0,0,0,0,1,1
38,"passionate",0,1,0,0,0,0,0,0,0
38,"pleasant",0,1,0,0,0,0,0,0,0
38,"positive",0,0,0,0,0,1,0,0,0
38,"religious",0,0,1,0,0,0,0,0,0
38,"repetitive",0,1,1,0,0,0,0,0,0
38,"rhythmical",1,1,0,0,0,1,0,0,0
38,"sentimental",0,0,0,0,1,0,0,0,0
38,"severe",0,1,0,0,0,0,0,0,0
38,"sexual",0,1,1,0,0,0,0,0,0
39,"aggressive",0,0,1,0,1,0,1,1,0
39,"celebratory",1,0,1,0,1,1,1,1,0
39,"easy",,,,,,,,,
39,"elegant",0,0,0,0,0,0,0,0,0
39,"encouraged",0,0,1,0,0,0,0,1,0
39,"energetic",1,0,1,0,1,0,1,1,1
39,"fun",1,0,1,0,1,0,1,1,1
39,"hot",0,0,0,0,1,0,0,1,1
39,"light_hearted",1,0,0,0,0,1,1,0,0
39,"peaceful",1,0,0,1,0,1,1,0,0
39,"religious",0,0,0,0,0,1,0,1,0
39,"slow",,,,,,,,,
39,"tragic",0,1,0,0,1,1,0,0,0
40,"angry",0,1,0,0,0,0,0,0,0
40,"bored",0,1,0,0,0,0,0,0,0
40,"fantastic",0,1,0,0,1,0,0,1,0
40,"loud",0,0,1,0,1,0,1,0,0
40,"pulsating",0,0,1,0,1,0,0,1,0
41,"driving",1,0,1,0,0,0,0,0,0
41,"excited",0,0,1,0,0,0,0,0,0
41,"gentle",0,0,1,0,1,1,0,0,0
41,"good",0,0,0,0,0,1,0,0,0
41,"interested",0,0,1,0,0,0,0,0,0
41,"sexy",1,0,0,0,0,0,1,0,0
41,"tranquil",0,0,1,0,0,1,0,0,0
42,"enthusiastic",0,0,0,0,0,0,0,0,0
42,"spontaneous",0,0,0,0,0,0,1,0,0
43,"amazed",0,0,1,0,0,0,1,1,0
43,"inspired",1,0,0,0,0,0,1,1,1
44,"sexual",0,0,1,0,0,0,1,1,1
44,"slow",0,1,0,0,0,0,1,1,1
45,"aggressive",0,0,0,0,0,0,1,0,0
45,"bored",0,0,0,0,0,0,0,0,0
45,"easy",0,0,0,0,0,0,1,1,0
45,"emotional",0,1,0,0,0,0,0,0,0
45,"excited",0,0,0,0,0,0,1,0,0
45,"fantastic",0,0,0,0,0,0,0,0,1
45,"fun",1,0,0,0,0,0,1,0,0
45,"funny",1,0,0,0,0,0,1,0,0
45,"gentle",0,1,0,0,0,0,0,0,0
45,"glorious",0,0,0,0,0,0,0,1,0
45,"happy",0,0,0,0,0,0,0,1,0
45,"joyful",0,0,0,0,0,0,1,0,0
45,"light_hearted",0,0,1,0,0,0,0,1,0
45,"liked",0,0,0,0,0,0,0,0,1
45,"motivational",1,0,0,0,0,0,0,0,1
45,"nocturnal",0,1,0,0,0,0,0,0,0
45,"passionate",0,0,0,0,0,0,0,1,0
45,"peaceful",0,0,0,0,0,1,0,0,0
45,"pleasant",0,0,0,0,0,0,0,0,1
45,"reflective",0,1,0,0,0,0,0,0,0
45,"retro",1,0,1,1,1,0,0,1,0
45,"sad",0,1,0,0,0,0,0,0,0
45,"sensual",0,1,0,0,0,0,0,0,0
45,"sexual",0,0,0,0,0,0,0,1,0
45,"sexy",0,1,0,0,0,0,0,0,0
45,"smooth",0,1,0,0,0,0,1,1,0
45,"spiritual",0,1,0,0,0,0,0,0,0
45,"spontaneous",0,0,0,0,0,0,0,1,0
45,"successful",0,0,0,1,0,0,0,0,0
45,"tranquil",0,1,0,0,0,0,0,0,0
46,"aggressive",0,0,0,0,0,0,0,0,0
46,"animated",0,0,0,0,0,0,0,0,0
46,"bitchy",0,0,0,0,0,0,0,0,0
46,"bored",0,0,0,0,0,0,0,0,0
46,"encouraged",0,0,0,0,0,0,0,0,0
46,"excited",0,0,0,0,0,0,0,0,0
46,"fantastic",0,0,0,0,0,0,0,0,0
46,"funny",0,0,0,0,0,0,0,0,0
46,"furious",0,0,0,0,0,0,0,0,0
46,"good",0,0,0,0,0,0,0,0,0
46,"heroic",0,0,0,0,0,0,0,0,0
46,"interested",0,0,0,0,0,0,0,0,0
46,"light_hearted",0,0,0,0,0,0,0,0,0
46,"playful",0,0,0,0,0,0,0,0,0
46,"positive",0,0,0,0,0,0,0,0,0
