"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
372,3,4,4,4,5,5,4,5,4
374,5,1,3,1,1,5,5,3,1
375,2,4,4,3,3,3,3,3,4
376,3,1,3,1,3,4,3,2,3
378,3,2,5,2,5,5,4,4,5
380,2,3,3,1,4,5,3,3,2
381,3,3,4,1,2,4,4,4,4
382,5,5,5,1,4,5,5,5,1
383,2,3,4,3,4,3,3,3,2
386,4,5,5,4,5,5,4,5,5
387,3,4,4,3,3,4,4,3,2
389,5,5,5,3,4,5,5,5,4
390,1,3,4,1,1,2,2,4,2
391,4,2,4,1,4,5,4,4,4
392,3,2,2,1,1,5,2,3,2
393,4,4,5,2,5,5,4,4,4
394,4,4,4,3,5,5,5,5,3
395,3,4,5,5,5,4,5,5,5
400,4,3,3,2,4,3,3,4,5
402,3,3,4,4,3,5,5,5,4
403,3,5,4,3,3,4,4,3,5
404,2,3,4,2,3,2,4,4,1
405,1,3,1,1,1,1,1,1,1
406,4,3,5,4,5,5,5,3,3
408,3,4,5,4,3,4,4,5,5
410,3,3,4,2,4,3,2,4,3
412,5,5,5,3,2,5,5,5,4
413,5,3,4,4,4,5,5,5,5
414,3,4,2,3,5,5,3,4,2
415,2,4,4,2,4,5,1,3,3
416,2,4,2,5,3,4,4,2,3
420,4,4,2,1,4,5,4,1,4
421,2,4,4,3,3,3,4,3,3
423,4,2,3,5,3,3,3,4,4
424,3,3,4,3,5,5,4,4,3
425,4,4,5,5,4,4,4,4,4
427,4,4,5,3,3,2,4,4,4
429,5,3,4,1,3,5,4,1,4
430,2,3,3,1,4,5,4,4,4
432,2,1,2,1,1,3,4,1,3
433,3,3,3,3,4,3,3,2,3
435,5,2,2,1,2,2,5,2,2
436,4,5,5,4,3,4,5,5,4
438,5,3,4,3,3,3,4,4,3
440,5,4,5,4,5,5,4,4,5
444,2,3,4,5,4,4,3,4,5
445,1,4,5,4,2,2,3,4,3
447,1,2,3,1,3,3,5,4,3
448,3,3,4,1,3,4,4,4,3
450,5,2,5,3,5,5,5,3,5
451,3,2,2,1,2,3,4,4,3
453,3,3,5,4,5,5,5,5,3
454,4,3,5,3,3,5,5,5,4
455,4,4,4,4,3,4,4,4,3
457,4,4,3,5,5,5,2,4,4
459,3,1,3,2,5,5,3,3,3
460,4,3,4,3,4,5,4,4,4
462,5,1,4,1,4,4,5,4,2
464,4,2,2,2,3,5,4,4,3
466,5,4,4,5,5,5,4,5,3
467,4,4,5,5,4,4,4,5,4
471,4,4,4,4,3,4,3,4,4
472,1,3,2,4,3,1,3,1,4
473,3,3,5,3,5,5,5,3,5
477,2,2,3,2,4,5,4,3,2
478,4,5,2,3,5,5,5,5,3
479,4,4,4,3,5,5,4,5,5
481,2,4,3,4,4,4,3,5,3
482,4,5,4,5,5,5,5,5,4
485,2,4,4,3,3,4,4,4,3
486,5,5,5,5,5,5,4,5,5
490,4,3,1,2,2,5,4,5,2
491,5,5,5,5,5,5,5,5,5
492,3,2,4,4,4,3,4,3,2
493,4,2,2,1,1,1,4,5,5
494,3,5,5,5,4,5,1,4,2
495,3,2,3,1,5,5,2,4,2
496,3,2,4,2,4,4,3,2,4
499,3,4,4,1,3,4,4,4,5
500,2,4,4,5,2,5,2,4,2
501,3,5,5,3,2,5,5,5,5
503,5,5,3,3,3,4,4,4,5
504,4,3,3,2,5,5,4,4,3
505,5,3,4,2,5,5,5,2,3
506,2,4,5,2,2,2,4,4,3
507,4,5,4,3,5,5,5,4,4
508,4,4,4,3,5,5,5,4,4
512,2,3,3,2,3,5,5,5,1
513,2,4,4,5,2,5,3,5,2
514,4,3,3,4,4,4,3,3,4
515,3,5,5,5,2,5,2,3,5
516,3,2,4,1,5,3,4,3,4
517,4,4,4,5,4,4,5,5,5
518,4,3,3,3,2,5,4,3,2
519,5,2,5,2,5,5,5,4,4
520,4,3,4,4,3,4,4,4,3
522,3,5,4,3,4,4,3,4,4
523,4,2,4,1,5,5,5,4,3
525,4,3,4,3,4,5,4,5,4
526,4,3,4,3,5,5,4,5,3
527,3,4,4,5,3,5,4,3,5
531,4,3,5,3,4,5,4,4,5
532,4,3,4,3,2,2,4,3,3
534,5,4,4,1,3,4,5,4,5
535,3,4,5,2,5,5,5,5,5
540,4,3,3,1,5,5,4,4,3
541,3,5,5,3,5,5,5,5,3
545,3,4,4,2,5,5,3,4,4
546,2,1,2,1,5,5,2,1,3
547,4,4,4,3,5,5,5,4,4
548,4,3,4,1,3,5,5,4,1
549,4,5,2,3,5,5,2,3,3
550,2,5,1,3,2,4,3,4,3
551,4,5,4,5,5,4,5,5,4
552,5,4,5,5,4,5,5,5,5
